Date,price_24k,price_22k,price_18k
2012-04-05,2675.88,2451.11,2006.91
2012-04-09,2694.93,2468.55,2021.2
2012-04-10,2723.73,2494.93,2042.8
2012-04-11,2745.47,2514.85,2059.1
2012-04-12,2778.58,2545.18,2083.94
2012-04-13,2732.57,2503.03,2049.42
2012-04-16,2732.13,2502.64,2049.1
2012-04-17,2741.42,2511.14,2056.06
2012-04-18,2711.78,2483.99,2033.83
2012-04-19,2731.63,2502.18,2048.73
2012-04-20,2752.61,2521.39,2064.46
2012-04-23,2731.84,2502.37,2048.88
2012-04-24,2773.14,2540.19,2079.85
2012-04-25,2779.67,2546.18,2084.75
2012-04-26,2803.29,2567.81,2102.47
2012-04-27,2803.5,2568.0,2102.62
2012-04-30,2809.71,2573.69,2107.28
2012-05-01,2813.25,2576.93,2109.93
2012-05-02,2792.39,2557.83,2094.29
2012-05-03,2782.45,2548.73,2086.84
2012-05-04,2824.12,2586.9,2118.09
2012-05-07,2816.81,2580.2,2112.61
2012-05-08,2728.19,2499.03,2046.15
2012-05-09,2721.69,2493.07,2041.27
2012-05-10,2759.98,2528.14,2069.99
2012-05-11,2711.32,2483.57,2033.49
2012-05-14,2690.75,2464.73,2018.07
2012-05-15,2700.72,2473.86,2025.54
2012-05-16,2656.59,2433.43,1992.44
2012-05-17,2758.25,2526.56,2068.69
2012-05-18,2787.19,2553.06,2090.39
2012-05-21,2779.03,2545.59,2084.27
2012-05-22,2788.77,2554.52,2091.58
2012-05-23,2756.8,2525.23,2067.6
2012-05-24,2803.48,2567.98,2102.61
2012-05-25,2802.34,2566.94,2101.75
2012-05-29,2756.7,2525.13,2067.52
2012-05-30,2798.12,2563.08,2098.59
2012-05-31,2824.82,2587.54,2118.62
2012-06-01,2921.68,2676.26,2191.26
2012-06-04,2878.72,2636.91,2159.04
2012-06-05,2889.79,2647.05,2167.34
2012-06-06,2920.76,2675.41,2190.57
2012-06-07,2823.83,2586.63,2117.87
2012-06-08,2808.59,2572.67,2106.44
2012-06-11,2842.75,2603.96,2132.06
2012-06-12,2885.84,2643.43,2164.38
2012-06-13,2902.78,2658.95,2177.09
2012-06-14,2897.08,2653.72,2172.81
2012-06-15,2918.75,2673.58,2189.06
2012-06-18,2894.99,2651.81,2171.24
2012-06-19,2915.62,2670.7,2186.71
2012-06-20,2904.65,2660.66,2178.49
2012-06-21,2824.23,2587.0,2118.18
2012-06-22,2834.49,2596.4,2125.87
2012-06-25,2915.26,2670.38,2186.45
2012-06-26,2884.9,2642.57,2163.68
2012-06-27,2891.32,2648.45,2168.49
2012-06-28,2832.49,2594.56,2124.37
2012-06-29,2928.15,2682.18,2196.11
2012-07-02,2850.14,2610.73,2137.61
2012-07-03,2889.24,2646.54,2166.93
2012-07-05,2818.0,2581.29,2113.5
2012-07-06,2787.92,2553.74,2090.94
2012-07-09,2829.69,2591.99,2122.27
2012-07-10,2835.46,2597.28,2126.6
2012-07-11,2805.06,2569.43,2103.79
2012-07-12,2798.29,2563.23,2098.72
2012-07-13,2861.9,2621.5,2146.42
2012-07-16,2820.76,2583.82,2115.57
2012-07-17,2812.44,2576.2,2109.33
2012-07-18,2781.87,2548.19,2086.4
2012-07-19,2809.98,2573.94,2107.48
2012-07-20,2804.32,2568.76,2103.24
2012-07-23,2804.89,2569.28,2103.67
2012-07-24,2835.62,2597.43,2126.71
2012-07-25,2900.69,2657.03,2175.52
2012-07-26,2915.92,2670.98,2186.94
2012-07-27,2887.86,2645.28,2165.9
2012-07-30,2877.01,2635.34,2157.76
2012-07-31,2869.73,2628.68,2152.3
2012-08-01,2869.22,2628.2,2151.91
2012-08-02,2830.87,2593.08,2123.15
2012-08-03,2883.14,2640.96,2162.36
2012-08-06,2890.86,2648.03,2168.15
2012-08-07,2873.22,2631.87,2154.92
2012-08-08,2855.34,2615.49,2141.51
2012-08-09,2881.23,2639.21,2160.93
2012-08-10,2878.05,2636.3,2158.54
2012-08-13,2860.63,2620.33,2145.47
2012-08-14,2845.58,2606.55,2134.19
2012-08-15,2869.22,2628.2,2151.91
2012-08-16,2891.4,2648.52,2168.55
2012-08-17,2890.2,2647.42,2167.65
2012-08-20,2902.73,2658.9,2177.04
2012-08-21,2926.07,2680.28,2194.56
2012-08-22,2914.51,2669.69,2185.88
2012-08-23,2978.8,2728.58,2234.1
2012-08-24,2966.54,2717.35,2224.91
2012-08-27,2984.06,2733.4,2238.05
2012-08-28,2983.72,2733.09,2237.79
2012-08-29,2970.39,2720.87,2227.79
2012-08-30,2956.99,2708.6,2217.74
2012-08-31,3012.87,2759.79,2259.66
2012-09-04,3022.28,2768.4,2266.71
2012-09-05,3025.05,2770.95,2268.79
2012-09-06,3060.12,2803.07,2295.09
2012-09-07,3109.16,2847.99,2331.87
2012-09-10,3076.74,2818.29,2307.55
2012-09-11,3086.71,2827.43,2315.03
2012-09-12,3079.01,2820.37,2309.26
2012-09-13,3140.11,2876.34,2355.08
2012-09-14,3153.3,2888.43,2364.98
2012-09-17,3085.91,2826.69,2314.43
2012-09-18,3070.64,2812.71,2302.98
2012-09-19,3072.25,2814.18,2304.19
2012-09-20,3070.0,2812.12,2302.5
2012-09-21,3097.24,2837.07,2322.93
2012-09-24,3022.88,2768.96,2267.16
2012-09-25,3032.03,2777.34,2274.03
2012-09-26,3003.15,2750.89,2252.36
2012-09-27,3058.04,2801.17,2293.53
2012-09-28,3018.39,2764.84,2263.79
2012-10-01,3025.25,2771.13,2268.94
2012-10-02,2986.35,2735.5,2239.76
2012-10-03,2994.1,2742.59,2245.57
2012-10-04,3008.27,2755.57,2256.2
2012-10-05,2958.55,2710.03,2218.91
2012-10-08,2959.76,2711.14,2219.82
2012-10-09,2983.61,2732.99,2237.71
2012-10-10,2988.49,2737.45,2241.36
2012-10-11,3016.46,2763.08,2262.34
2012-10-12,2976.85,2726.79,2232.63
2012-10-15,2947.13,2699.57,2210.35
2012-10-16,2973.68,2723.89,2230.26
